Error results for RHC,
Training time: 122.291 seconds,
Testing time: 0.140 seconds,
,
Results for  GAtesting testing: ,
Correctly classified 7257.0 instances.,
Incorrectly classified 1784.0 instances.,
Percent correctly classified: 80.268%,
Training time: 3150.202 seconds,
Testing time: 0.134 seconds,
,
Results for  GAtraining set: ,
Correctly classified 29060.0 instances.,
Incorrectly classified 7109.0 instances.,
Percent correctly classified: 80.345%,
Training time: 3150.202 seconds,
Testing time: 0.134 seconds,
,
,
Process finished with exit code 0,
