Error results for RHC,
4384.434,1047.875
2616.412,590.903
2616.278,590.801
2616.278,590.801
2616.278,590.801
2616.278,590.801
2616.181,590.772
2616.181,590.772
2616.189,590.768
2616.039,590.711
2615.954,590.692
2615.844,590.807
2615.781,590.781
2615.781,590.781
2615.841,590.768
2615.781,590.781
2617.114,593.187
2615.781,590.781
2615.801,590.792
2615.781,590.781
2615.781,590.781
2615.781,590.781
2615.781,590.781
2615.781,590.781
2615.853,590.755
2615.781,590.781
2614.666,589.916
2614.666,589.916
2614.666,589.916
2614.666,589.916
2780.203,675.235
2614.666,589.916
2614.666,589.916
2614.666,589.916
2684.136,605.73
2614.652,589.918
2614.65,589.988
2614.797,589.983
2614.65,589.988
2614.65,589.988
2614.688,590.117
2615.765,590.443
2614.596,590.168
2614.584,590.163
2614.866,590.395
2614.584,590.163
2614.584,590.163
2619.746,591.823
2614.54,590.182
2614.534,590.188
2614.534,590.188
2614.534,590.188
2614.534,590.188
2614.534,590.188
2614.491,590.16
2614.491,590.16
2614.491,590.16
2614.512,590.166
2614.491,590.16
2614.491,590.16
2614.69,590.158
2614.491,590.16
2613.903,589.801
2613.903,589.801
2614.067,589.939
2613.903,589.801
2613.903,589.801
2613.903,589.801
2613.903,589.801
2620.345,594.241
2613.867,589.827
2613.867,589.827
2613.867,589.827
2614.107,589.537
2613.867,589.827
2695.409,633.883
2614.112,590.008
2613.867,589.827
2613.867,589.827
2613.867,589.827
2613.867,589.827
2613.867,589.827
2610.272,596.694
2610.272,596.694
2610.272,596.694
2610.093,596.739
2656.955,625.592
2610.093,596.739
2611.247,597.642
2610.169,596.705
2610.203,596.495
2610.052,596.72
2610.052,596.72
4005.475,932.13
2610.027,596.78
2631.158,603.76
2610.027,596.781
2609.995,596.764
2609.995,596.764
2609.739,596.357
2892.556,684.917
2609.739,596.357
2609.739,596.357
2609.739,596.357
2609.739,596.357
2609.776,596.089
2609.739,596.357
2632.224,604.502
2609.739,596.357
2609.723,596.361
2609.723,596.361
2609.66,596.326
2609.66,596.326
2609.66,596.326
2609.562,596.46
2609.562,596.46
2610.385,596.716
2609.145,596.058
2609.145,596.058
2609.145,596.058
2609.145,596.058
2609.182,596.079
2609.336,595.641
2609.145,596.058
2607.216,597.447
2607.216,597.447
2607.291,597.471
2607.216,597.447
2607.216,597.447
2607.216,597.447
2607.307,597.613
2610.948,595.411
2607.216,597.447
2607.216,597.447
2607.246,597.485
2607.216,597.447
2607.212,597.446
2607.227,597.462
2607.212,597.446
2607.189,597.455
2607.189,597.455
2607.189,597.455
2607.189,597.455
2607.189,597.455
2607.143,597.39
2625.387,604.15
2607.143,597.39
2607.143,597.39
